Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Isolate,Lat_Lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,collected_by,Genotype,HOST,host_tissue_sampled,SAMPLE_TYPE,AssemblyName,env_broad_scale,env_local_scale,env_medium,Isolation_source,REPLICATE
SRR13215692,WGA,292,1129397105,PRJNA482776,SAMN17026518,MISAG.human-associated,246768735,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"run.zq,sra,bam","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX9648874,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc08_S25_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:58:00Z,1,VHX562_T2_sc08_S25_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc08
SRR13215693,WGA,291,1026705641,PRJNA482776,SAMN17026517,MISAG.human-associated,235110403,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"bam,run.zq,sra","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",SRX9648873,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc07_S24_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:58:00Z,1,VHX562_T2_sc07_S24_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc07
SRR13215694,WGA,293,1414073870,PRJNA482776,SAMN17026365,MISAG.human-associated,330812490,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2010-10-05,public,"sra,run.zq,bam","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX9648872,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX374,16.71 N 98.57 E,VHX374_T1_sc08_S27_L002,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:59:00Z,1,VHX374_T1_sc08_S27_L002,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Maela,sc08
SRR13215695,WGA,189,1074780718,PRJNA482776,SAMN17026122,MISAG.human-associated,584436227,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2010-09-14,public,"bam,run.zq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9648871,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,DMA004,16.71 N 98.57 E,DMA004_T2_RBC_S16,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:58:00Z,1,DMA004_T2_RBC_S16,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,RBC
SRR13215696,WGA,293,1648369489,PRJNA482776,SAMN17026364,MISAG.human-associated,361758339,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2010-10-05,public,"bam,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX9648870,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX374,16.71 N 98.57 E,VHX374_T1_sc07_S26_L002,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:59:00Z,1,VHX374_T1_sc07_S26_L002,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Maela,sc07
SRR13215697,WGA,291,1534441633,PRJNA482776,SAMN17026363,MISAG.human-associated,344651576,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2010-10-05,public,"bam,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX9648869,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX374,16.71 N 98.57 E,VHX374_T1_sc06_S25_L002,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:59:00Z,1,VHX374_T1_sc06_S25_L002,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Maela,sc06
SRR13215698,WGA,291,828176318,PRJNA482776,SAMN17026362,MISAG.human-associated,180065306,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2010-10-05,public,"bam,run.zq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX9648868,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX374,16.71 N 98.57 E,VHX374_T1_sc05_S24_L002,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:58:00Z,1,VHX374_T1_sc05_S24_L002,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Maela,sc05
SRR13215699,WGA,292,1533582272,PRJNA482776,SAMN17026361,MISAG.human-associated,338089878,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2010-10-05,public,"run.zq,sra,bam","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9648867,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX374,16.71 N 98.57 E,VHX374_T1_sc04_S23_L002,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:59:00Z,1,VHX374_T1_sc04_S23_L002,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Maela,sc04
SRR13215700,WGA,192,1044409193,PRJNA482776,SAMN17026360,MISAG.human-associated,495411663,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2010-10-05,public,"bam,sra,run.zq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX9648866,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX374,16.71 N 98.57 E,VHX374_T1_sc02_S44,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:58:00Z,1,VHX374_T1_sc02_S44,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Maela,sc02
SRR13215701,WGA,185,1036180450,PRJNA482776,SAMN17026359,MISAG.human-associated,490709867,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2010-10-05,public,"run.zq,bam,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9648865,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX374,16.71 N 98.57 E,VHX374_T1_sc01_S43,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:58:00Z,1,VHX374_T1_sc01_S43,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Maela,sc01
SRR13215703,WGA,184,1108061486,PRJNA482776,SAMN17026357,MISAG.human-associated,537751586,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2010-10-05,public,"run.zq,sra,TenX","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX9648863,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX374,16.71 N 98.57 E,VHX374_T1_bulk_S45,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:59:00Z,1,VHX374_T1_bulk_S45,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Maela,bulk
SRR13215704,WGA,293,2409256353,PRJNA482776,SAMN17026356,MISAG.human-associated,499046401,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2011-08-04,public,"run.zq,bam,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9648862,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX293,16.71 N 98.57 E,VHX293_T2_sc27_S172_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:59:00Z,1,VHX293_T2_sc27_S172_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc27
SRR13215705,WGA,293,2057884021,PRJNA482776,SAMN17026355,MISAG.human-associated,447590796,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2011-08-04,public,"bam,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9648861,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX293,16.71 N 98.57 E,VHX293_T2_sc26_S171_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:00:00Z,1,VHX293_T2_sc26_S171_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc26
SRR13215706,WGA,193,899061074,PRJNA482776,SAMN17026121,MISAG.human-associated,446993004,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2010-09-14,public,"bam,sra,run.zq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX9648860,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,DMA004,16.71 N 98.57 E,DMA004_T2_bulk_S15,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:58:00Z,1,DMA004_T2_bulk_S15,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,bulk
SRR13215707,WGA,293,344100,PRJNA482776,SAMN17026354,MISAG.human-associated,7550181,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2011-08-04,public,"run.zq,sra,bam","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX9648859,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX293,16.71 N 98.57 E,VHX293_T2_sc25_S170_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:56:00Z,1,VHX293_T2_sc25_S170_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc25
SRR13215708,WGA,292,1886074263,PRJNA482776,SAMN17026353,MISAG.human-associated,462749775,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2011-08-04,public,"sra,bam,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX9648858,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX293,16.71 N 98.57 E,VHX293_T2_sc24_S169_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:00:00Z,1,VHX293_T2_sc24_S169_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc24
SRR13215709,WGA,293,1068900,PRJNA482776,SAMN17026352,MISAG.human-associated,7743469,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2011-08-04,public,"bam,run.zq,sra","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX9648857,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX293,16.71 N 98.57 E,VHX293_T2_sc23_S168_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:56:00Z,1,VHX293_T2_sc23_S168_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc23
SRR13215710,WGA,292,152850,PRJNA482776,SAMN17026351,MISAG.human-associated,7501523,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2011-08-04,public,"bam,sra,run.zq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX9648856,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX293,16.71 N 98.57 E,VHX293_T2_sc22_S167_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:56:00Z,1,VHX293_T2_sc22_S167_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc22
SRR13215711,WGA,294,139950,PRJNA482776,SAMN17026350,MISAG.human-associated,7500168,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2011-08-04,public,"run.zq,bam,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9648855,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX293,16.71 N 98.57 E,VHX293_T2_sc21_S166_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:56:00Z,1,VHX293_T2_sc21_S166_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc21
SRR13215712,WGA,290,27000,PRJNA482776,SAMN17026349,MISAG.human-associated,7473891,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2011-08-04,public,"bam,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX9648854,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX293,16.71 N 98.57 E,VHX293_T2_sc20_S165_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:56:00Z,1,VHX293_T2_sc20_S165_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc20
SRR13215713,WGA,292,495300,PRJNA482776,SAMN17026348,MISAG.human-associated,7584566,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2011-08-04,public,"run.zq,bam,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX9648853,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX293,16.71 N 98.57 E,VHX293_T2_sc19_S164_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:56:00Z,1,VHX293_T2_sc19_S164_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc19
SRR13215714,WGA,293,2079676647,PRJNA482776,SAMN17026347,MISAG.human-associated,443707451,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2011-08-04,public,"sra,bam,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX9648852,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX293,16.71 N 98.57 E,VHX293_T2_sc18_S170_L002,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:59:00Z,1,VHX293_T2_sc18_S170_L002,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc18
SRR13215715,WGA,293,1960926446,PRJNA482776,SAMN17026346,MISAG.human-associated,422892416,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2011-08-04,public,"run.zq,sra,bam","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX9648851,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX293,16.71 N 98.57 E,VHX293_T2_sc17_S169_L002,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:00:00Z,1,VHX293_T2_sc17_S169_L002,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc17
SRR13215716,WGA,293,2562833652,PRJNA482776,SAMN17026345,MISAG.human-associated,539088829,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2011-08-04,public,"sra,run.zq,bam","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX9648850,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX293,16.71 N 98.57 E,VHX293_T2_sc16_S168_L002,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:01:00Z,1,VHX293_T2_sc16_S168_L002,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc16
SRR13215717,WGA,291,1405114774,PRJNA482776,SAMN17026120,MISAG.human-associated,311517271,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2010-10-13,public,"bam,run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9648849,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,DMA004,16.71 N 98.57 E,DMA004_T1_sc25_S64_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T17:59:00Z,1,DMA004_T1_sc25_S64_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,Wangpa,sc25
SRR13215718,WGA,293,2446355000,PRJNA482776,SAMN17026516,MISAG.human-associated,507503012,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"bam,run.zq,sra","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",SRX9648848,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc06_S23_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:01:00Z,1,VHX562_T2_sc06_S23_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc06
SRR13215719,WGA,292,2140725222,PRJNA482776,SAMN17026515,MISAG.human-associated,464609322,TEXAS BIOMEDICAL RESEARCH INSTITUTE,2012-01-21,public,"bam,sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",SRX9648847,Thailand,Asia,Thailand: Mae Sot,Illumina HiSeq 2000,VHX562,16.71 N 98.57 E,VHX562_T2_sc04_S22_L001,PAIRED,RANDOM,GENOMIC,Plasmodium vivax,ILLUMINA,2020-12-18T00:00:00Z,2020-12-18T18:00:00Z,1,VHX562_T2_sc04_S22_L001,SRP155167,,,,,,assembly,Malaria infected human,Blood stream,Blood,"MKK\,PLU",sc04
